년도-월,무,고등어,닭고기,양파,배추,냉동참조기,오징어,조기,애호박,사과,동태,호박,배,쇠고기,달걀,상추,돼지고기,오이,명태
2018-01,1716.2,3842.2580645161293,5942.083333333333,3562.4747474747473,3161.9489795918366,,3998.865979381443,3012.8888888888887,2222.377049180328,1813.23,3495.0,2068.6486486486488,2899.89,30184.0,4252.005102040816,1336.2626262626263,12790.315789473685,991.63,3965.243902439024
2018-02,2454.808080808081,3696.7741935483873,6079.690721649485,3462.0,3935.1632653061224,3990.0,3808.091836734694,2974.659574468085,2044.1935483870968,1968.1782178217823,3014.5,2024.5945945945946,3321.1435643564355,29622.52,4214.560606060606,1141.2178217821781,13177.525773195875,824.09,4083.529411764706
2018-03,2498.865979381443,3969.3260869565215,6135.2040816326535,3232.161616161616,3922.298969072165,2750.0,3803.5520833333335,3103.866666666667,2033.3333333333333,1802.7878787878788,2296.0,2036.9512195121952,3256.9145728643216,27212.244897959183,3745.9949494949497,1006.1111111111111,13084.432989690722,724.3838383838383,3951.548780487805
2018-04,2653.084210526316,3379.7954545454545,6072.572916666667,3182.787878787879,3927.9896907216494,2000.0,3934.795918367347,2988.1666666666665,1386.5254237288136,1825.5816326530612,5560.0,1393.1707317073171,3309.8743718592964,28737.22,3708.9948979591836,942.6868686868687,13087.368421052632,588.32,3924.4337349397592
2018-05,2410.7525773195875,3398.4269662921347,6102.693877551021,2995.44,3082.278350515464,2000.0,3746.010101010101,2869.2,1573.135593220339,1843.1919191919192,3463.3333333333335,1579.2682926829268,2863.0552763819096,28238.383838383837,3615.6111111111113,957.47,13626.104166666666,633.1313131313132,4007.9285714285716
2018-06,1934.2268041237114,3512.9545454545455,5977.3263157894735,2901.6060606060605,2884.9791666666665,3333.0,3698.8350515463917,3049.7640449438204,1083.9655172413793,1870.3939393939395,2831.5,1095.0,2772.365,28424.26530612245,3446.373737373737,850.71,14135.063829787234,535.5858585858585,3931.1686746987953
2018-07,2385.1041666666665,3251.8387096774195,6144.896907216495,2921.6969696969695,4623.041237113402,3333.0,3898.175257731959,3180.2272727272725,949.8245614035088,1808.591836734694,3260.0,1074.6341463414635,3700.489898989899,28548.79591836735,3598.865979381443,1085.4949494949494,14957.54347826087,674.3737373737374,3788.0375
2018-08,3102.5352112676055,3423.21978021978,6502.734042553191,2971.848484848485,5934.407407407408,3000.0,4173.5684210526315,3378.2417582417584,1786.6666666666667,1944.680412371134,2474.285714285714,1749.2857142857142,3896.858064516129,28848.530612244896,3962.2295918367345,1653.15625,14859.782608695652,1002.4123711340206,3832.456790123457
2018-09,3008.8888888888887,3318.6483516483518,6315.869565217391,2983.16,5221.735632183908,2500.0,3911.041237113402,3059.5164835164837,1555.754716981132,2294.877551020408,3417.1428571428573,1602.2727272727273,4062.946808510638,28951.28,4107.076142131979,1812.8556701030927,14370.978260869566,834.7575757575758,3954.8607594936707
2018-10,2006.2291666666667,3212.769230769231,6437.135416666667,2867.09900990099,3344.969387755102,3000.0,4393.978494623656,2679.3333333333335,1306.842105263158,1943.1782178217823,2311.4285714285716,1349.2045454545455,3109.6417910447763,28456.58,4043.560606060606,1061.18,13724.893617021276,699.82,3744.268292682927
2018-11,1659.6969696969697,3128.1075268817203,6265.635416666667,2873.98,2775.144329896907,3000.0,4582.625,2891.3777777777777,1507.3636363636363,1759.2244897959183,1997.142857142857,1563.9772727272727,2767.6530612244896,28412.969696969696,3976.2741116751267,946.87,12529.375,766.9897959183673,3913.265060240964
2018-12,1617.4747474747476,3420.4148936170213,6353.191489361702,2865.15,2828.907216494845,3000.0,4425.6511627906975,2925.5555555555557,1705.5357142857142,1871.1818181818182,3028.5714285714284,1622.5581395348838,2956.234693877551,28417.151515151516,3957.326530612245,975.53,13371.875,868.57,3764.0
2019-01,1494.3,3149.021505376344,6584.840425531915,2771.168316831683,2557.777777777778,3000.0,4174.63829787234,3029.9655172413795,1816.4912280701753,2056.092783505155,3135.714285714286,1833.7209302325582,3043.3838383838383,29829.28,3831.5175879396984,967.039603960396,13030.0,936.1632653061224,3385.9466666666667
2019-02,1407.5,3258.6451612903224,6483.462365591397,2695.08,2601.680412371134,3000.0,4060.6021505376343,2979.633333333333,1466.8392857142858,1967.319587628866,2454.285714285714,1482.3255813953488,2914.566326530612,29773.244897959183,3637.9492385786803,890.5353535353536,12797.263157894737,817.7755102040817,3766.4024390243903
2019-03,1360.8,3400.9247311827958,6360.688172043011,2684.7272727272725,2500.59793814433,3145.0,4138.333333333333,3187.521739130435,1339.8214285714287,1921.4639175257732,2135.4285714285716,1414.4318181818182,2847.9543147208124,28670.08080808081,3716.8010204081634,917.43,12531.041666666666,762.5979381443299,3718.4430379746836
2019-04,1408.4300341296928,3477.387640449438,6300.909090909091,2983.2576791808874,2448.391304347826,3237.5,3965.772808586762,3064.346516007533,1144.870481927711,1930.9810671256455,2889.1666666666665,1235.9448818897638,2821.3310285220396,29113.73448275862,3903.808861859253,918.0102214650767,13175.090265486726,617.5120689655172,3664.6329113924053
2019-05,1494.0035587188613,3451.812133072407,6311.875236294896,3018.4715302491104,2459.242700729927,3345.0,3733.7239488117,3047.08,1064.2772277227723,1923.488413547237,2775.344827586207,1187.3062015503876,2868.8444244604316,29227.969424460432,3921.741818181818,1018.9536541889483,13353.109461966606,570.5660714285714,3600.741052631579
2019-06,1542.1243862520457,3581.085561497326,6214.675347222223,2757.9459016393444,2790.211055276382,3345.0,3619.875630252101,3177.112132352941,1169.2994186046512,1956.31855500821,3158.9772727272725,1242.6029962546816,3066.4403973509934,29446.03300330033,3885.003336113428,961.8428805237315,13278.640275387263,524.0082781456954,3428.3411764705884
2019-07,1543.3152639087018,3596.872611464968,6220.5742128935535,2462.071225071225,3066.843251088534,3202.1428571428573,3353.939655172414,3137.623188405797,1062.9628647214854,1987.079885877318,2306.25,1139.996904024768,3357.5342465753424,29191.86800573888,3876.664492753623,1045.9843304843305,13166.475482912332,637.8789173789174,3556.0049261083745
2019-08,1606.5098039215686,3411.1871508379886,6294.580601092896,2513.4287581699346,3526.755376344086,3345.0,3732.2327127659573,3180.5289855072465,1646.3432835820895,1895.3368983957218,1626.3157894736842,1563.3188405797102,3609.969516235918,29306.93594771242,3841.207171314741,1585.2896825396826,13035.023192360164,960.0159574468086,3558.7397476340693
2019-09,1812.4048913043478,3486.908961593172,6293.083451202263,2542.970108695652,4383.2426127527215,3259.285714285714,4020.532147742818,3158.0648567119156,1595.8644501278773,1951.9944674965423,1418.2692307692307,1576.1799410029498,3814.836573074154,29596.139344262294,3965.7293388429753,1441.6515151515152,13796.867816091954,891.3595041322315,3642.486710963455
2019-10,2419.9532595325954,3523.6327827191867,6465.061459667094,2493.795371498173,5489.165178571428,3224.285714285714,3968.26899128269,3025.4614343707713,1377.234375,1679.6416256157636,1529.3333333333333,1416.2037533512064,4133.514864864865,29463.456097560975,4068.869187848729,1617.6945812807883,13466.053164556963,841.8430160692212,3845.836283185841
2019-11,2498.761290322581,3620.2634338138923,6364.30852503383,2555.246523388116,4201.42536327609,3301.875,3845.3297002724794,3004.552742616034,1225.7109557109557,1681.3299232736572,1971.0,1335.486187845304,3552.893298633702,29122.157160963245,4139.268214055448,1302.853470437018,12663.823453608247,881.5841836734694,3801.5886075949365
2019-12,2570.766355140187,3798.6478494623657,6350.9124668435015,2674.1602002503128,4057.2647814910024,3301.875,4215.686192468619,3048.3081232492996,1372.246013667426,1734.859296482412,1881.21875,1405.3583333333333,3528.719342604298,29197.22625,4207.525542784164,1230.7547649301143,13013.2538071066,955.5499367888748,3878.967391304348
2020-01,2767.72268907563,4017.1169590643276,6342.450953678474,2871.819462227913,4118.257595772788,3295.714285714286,4779.320109439124,3402.797704447633,2021.4218009478673,1950.7958387516255,2105.0625,1888.3236151603498,3669.584041857423,29662.275994865213,4178.52091503268,1371.5786736020807,12735.43450064851,1167.9518855656697,3834.786991869919
2020-02,2579.090909090909,3974.939024390244,6379.611764705883,2944.054945054945,4055.677777777778,3000.0,4584.977272727273,3158.1111111111113,2152.8,1843.4175824175825,3105.75,2018.125,3709.4918032786886,30359.516483516483,4106.407821229051,1437.6813186813188,12440.725274725275,1154.8426966292134,3922.095890410959
2020-04,1699.8976608187133,3811.1074918566774,6275.269716088328,3624.2345864661656,3946.845921450151,3295.714285714286,4171.506666666667,3145.582802547771,1245.148148148148,1884.2375366568915,2720.964285714286,1206.1503267973856,3515.3775130305285,29850.612665684832,4214.2719821162445,1002.9704142011834,13424.348281016442,654.4524158125915,3778.5809352517986
2020-05,1626.6442953020135,4011.5936920222634,6271.488160291439,3583.7747440273038,4243.060763888889,3287.5,4133.815699658703,3208.740671641791,1115.3015384615385,1983.3844856661046,2825.0,1111.6236162361624,3667.442538593482,30405.445008460236,4196.4044558697515,986.0694915254237,14734.199300699302,569.2067226890756,3740.7291242362526
2020-06,1717.5778078484439,3977.5054432348365,6301.8436578171095,3481.7950138504157,4026.865090403338,3345.0,3350.96275862069,3117.670278637771,1220.3050397877985,2181.4074074074074,2460.75,1186.3342541436464,3620.216850828729,30860.696969696968,4190.838977194195,1076.9327846364883,15644.893009985735,616.0542005420054,3845.728896103896
2020-07,1942.1814006888633,3796.485,6397.299625468165,3252.388954171563,4260.767386091127,3345.0,3638.743859649123,3041.815303430079,1352.5,2358.2960760998812,2905.8611111111113,1314.2890995260664,3750.1643835616437,30866.642607683352,4175.178299120234,1376.8855140186915,15178.641370869032,827.7026406429392,3825.798858773181
2020-08,2242.7494646680943,3949.1147540983607,6430.340909090909,3383.2316017316016,5171.06914893617,3304.4444444444443,3974.1852678571427,3190.127659574468,2067.6519337016575,2277.7687074829932,2771.0,2109.017964071856,4179.002398081535,31855.517094017094,4173.404967602592,1893.7285067873304,15523.882618510159,1043.2139737991267,3867.198952879581
2020-09,3104.406528189911,4081.357723577236,6452.509641873278,3696.5380710659897,6432.707602339181,3604.0,4828.713043478261,3266.6017964071857,2386.183574879227,2502.973941368078,2543.684210526316,2332.7083333333335,4433.137524557957,27349.414572864323,4358.2,1885.7971830985916,13088.79187817259,1338.994011976048,3898.4469453376205
2020-10,2766.011157601116,4059.4049247606017,6355.282191780822,3789.480670103093,5180.247078464107,3500.740740740741,4959.080370942813,3067.578078078078,1467.186147186147,2451.282894736842,2844.5588235294117,1427.6175548589342,4375.252180808882,26092.534912718205,4377.491591203105,1396.3213793103448,12518.551461245235,868.0693215339234,3804.340322580645
2020-11,2124.9130938586327,3979.0321782178216,6336.713933415536,3811.4498834498836,3495.9720930232556,3230.0,5112.692524682651,2912.056629834254,1280.3696498054476,2315.3547008547007,3050.714285714286,1306.3287671232877,3593.266793409379,26119.4546460177,4289.983711460151,1222.9051620648258,11985.148063781322,811.8177215189874,3808.4285714285716
2020-12,1986.244482173175,4031.6722222222224,6466.15331010453,3784.623488773748,3191.0637931034485,3153.3333333333335,5497.387096774193,2919.4948875255623,1520.0706214689264,2344.2262931034484,2940.1967213114754,1481.75,3543.6983240223462,26188.164495114008,4335.279690189329,1309.4387211367673,12077.611486486487,894.060669456067,3760.8048780487807
2021-01,2130.6192893401017,3941.87811634349,6847.594315245478,4270.25935828877,3077.5229591836733,3230.0,5193.10303030303,3266.3644314868807,2251.090047393365,2567.817589576547,2500.4761904761904,2196.741573033708,3613.1834482758622,26779.62350119904,4900.551767676768,1686.1924119241191,11689.899497487437,1093.7870967741935,3742.0354838709677
2021-02,1950.8415584415584,4025.4289772727275,6926.620879120879,4818.730303030303,3391.636604774536,3230.0,5399.755627009647,3168.5345911949685,2442.592783505155,2699.167300380228,2940.731707317073,2464.5113636363635,3982.017094017094,26893.19306930693,5850.609375,1620.4686648501363,11640.642487046633,1140.8741496598639,3806.695652173913
2021-03,1651.9139240506329,4112.7,6775.527704485488,4831.392971246007,3862.2608695652175,3173.9375,5081.5640243902435,3217.887878787879,2026.9318181818182,2669.633116883117,3483.2380952380954,2091.7052023121387,4150.058091286307,27363.199040767387,5868.570707070707,1357.283464566929,11540.504975124379,956.4754601226994,3892.5709570957097
2021-04,1589.0530612244897,4184.008849557522,6730.225263157895,4366.299319727891,3973.582987551867,3236.4375,4560.220048899755,3208.093137254902,1491.6906474820144,2701.760989010989,3871.8367346938776,1740.0740740740741,4250.466073414906,27523.692156862744,5755.404517453799,1266.9065817409767,12140.528455284553,780.9211136890951,3910.3394255874673
2021-05,1591.1355498721227,4001.188202247191,6600.251308900523,3525.7921052631577,3681.9064935064935,3230.0,4350.234782608695,3207.8066465256798,1275.4585152838429,2715.6266666666666,3779.25,1465.4335260115606,4060.0662068965516,27881.683698296838,6006.839285714285,1243.648148148148,12711.171355498722,702.9544159544159,3866.8688524590166
2021-06,1615.3316326530612,4043.650145772595,6588.2486631016045,3309.6935064935064,3347.246073298429,3230.0,3873.360465116279,3214.2606060606063,1536.607142857143,2648.7741935483873,3745.675675675676,1449.971590909091,3914.2869198312237,27869.353960396038,6245.876802096986,1415.5184210526315,13200.343915343916,699.5441595441596,3981.2579617834394
2021-07,1734.2071881606764,4038.4302325581393,6756.880794701987,3207.1744680851066,3425.961456102784,3138.0,3850.4232673267325,3098.1447028423772,1208.1617647058824,2601.726775956284,4271.25,1220.911214953271,3888.23112659698,27720.541666666668,6318.700964630225,1580.4651685393258,13339.58574610245,780.4052132701422,3927.2868217054265
2021-08,1995.0992555831265,4025.472972972973,6847.425196850394,3305.1645569620255,4328.149100257069,3230.0,3920.294117647059,3111.346625766871,1467.3863636363637,2323.1079365079363,4813.428571428572,1450.3157894736842,4297.972260748959,29337.60591133005,6246.528205128205,1842.1601123595506,14655.34036939314,930.9173553719008,3885.4037267080744
2021-09,1934.1006036217304,4151.88961038961,6965.8450106157115,3538.5173116089613,4803.3711111111115,3184.0,4218.8516260162605,3043.0,1933.2480620155038,2321.1949152542375,3641.5151515151515,1942.8684210526317,4357.281115879829,33182.45995893224,5984.2340862423,1956.367205542725,16955.444685466377,1020.6378600823045,3921.176470588235
2021-10,1796.0076335877864,4025.6767955801106,7071.0,3558.568123393316,4207.154666666666,3230.0,4295.307291666667,2792.5661971830987,1624.3632075471698,2176.5226666666667,3366.818181818182,1678.5810055865923,3947.4808454425365,33395.87046632124,5597.7733160621765,1705.481894150418,16673.056300268097,954.4623376623376,3935.3703703703704
2021-11,1871.6015625,4175.381088825215,7075.839779005525,3472.802110817942,4159.383977900552,3212.3076923076924,4367.189944134078,3040.541547277937,1889.851485148515,2246.0561497326203,2620.0,1983.2087912087911,3886.2979591836734,33377.27368421053,5485.0840998685935,1504.4581005586592,16304.598901098901,1131.5775401069518,4037.925
2021-12,1937.305944055944,4094.8953722334004,6908.007220216607,3410.5649122807017,4234.910746812387,3202.9411764705883,4737.916988416989,2867.625939849624,1978.5915492957747,2103.9825783972124,2841.6666666666665,1918.1565836298932,3971.0,31556.80943738657,5487.073192239859,1373.174688057041,16203.333333333334,1232.2495667244368,4012.2181069958847
2022-01,1754.1094147582696,4156.785100286533,7151.819672131148,3470.6907216494847,4251.778350515464,3255.0,4938.885154061624,3070.219718309859,2360.2331606217617,2365.9821882951655,2553.4375,2266.78391959799,4053.891581632653,6190.330808080808,5876.8085758039815,1369.4545454545455,2940.952736318408,1206.7682291666667,3880.7624633431087
2022-02,1708.0229007633588,4221.213450292397,7282.396782841823,3415.8522427440635,4117.928759894459,3255.0,4118.920212765957,3090.7942857142857,2178.9367816091954,2330.1632653061224,3130.909090909091,2129.5,3986.769130998703,5817.890025575448,5997.669902912621,1364.8177215189874,2740.278195488722,1124.7493333333334,3839.083094555874
2022-03,1621.9111570247933,4199.210900473934,7379.959090909091,3235.43347639485,4262.223175965665,3230.0,4368.5472103004295,2879.03738317757,1883.2242990654206,2233.008316008316,3494.6666666666665,1852.8226415094339,4006.5470085470088,5743.679916317991,6116.832669322709,1242.253112033195,2719.4866529774126,1013.8034188034188,4011.249417249417
2022-04,1624.639097744361,4265.495626822158,7541.667621776504,3226.1305483028723,4479.538659793814,3330.0,4662.639037433155,2920.2803468208094,1508.4530386740332,2226.826972010178,3578.3333333333335,1505.2186046511629,4168.7956298200515,5604.012853470437,6081.244336569579,1237.2253164556962,2773.7625,819.5012987012987,4308.430985915493
2022-05,1780.8827930174564,4347.946428571428,7532.828908554572,3242.7512953367877,4559.271317829457,3110.0,4611.753315649868,2938.1516853932585,1296.2359550561798,2292.4249363867684,4104.444444444444,1278.6322869955156,4224.4618369987065,5647.660759493671,6308.200331125828,1180.8045685279187,3267.98,709.8685567010309,4390.005797101449
2022-06,1971.6720321931589,4363.67681498829,7565.589449541284,3567.2122448979594,4459.871165644172,3000.0,4321.057082452431,3031.40625,1434.5575221238937,2339.5254582484727,3728.0,1408.7942238267149,4153.59170984456,5736.314285714286,6440.105960264901,1288.7687626774848,3416.199203187251,741.2494929006085,4326.002331002331
2022-07,2273.9693094629156,4244.300283286119,7780.861271676301,3954.86835443038,5166.671597633136,3000.0,3870.669376693767,3013.728291316527,1817.6608187134502,2423.71834625323,4326.666666666667,1822.2247706422017,4402.551192145863,5957.267175572519,6373.612040133779,2100.4777777777776,3370.8387096774195,1166.8373983739837,4279.178041543027
2022-08,2502.560224089636,4275.9439528023595,7715.393393393393,3951.5915119363394,5899.934426229508,3000.0,4032.4617563739375,3167.6782608695653,1974.75,2372.0211081794196,4285.0,1947.8712871287128,4496.964941569282,5811.449612403101,6237.728055077453,2012.2329545454545,3255.2391857506364,1264.8138888888889,4245.856707317073
2022-09,2799.515625,4376.766509433963,7614.114285714286,4081.2034632034633,6284.715639810426,3090.0,4512.820045558086,3342.4556354916067,2105.9803921568628,2394.0369565217393,4440.0,2142.60593220339,4543.223372781065,5815.378378378378,6309.159544159545,1846.2378752886837,3233.3565573770493,1219.3056768558952,4425.062656641604
2022-10,2846.245901639344,4343.3020527859235,7503.103857566765,4113.4078947368425,5530.393501805054,3138.0,4926.037900874636,3134.2550143266476,1612.6285714285714,2201.9407216494847,4493.333333333333,1691.7117117117118,4232.479041916167,6036.788804071247,6300.45518453427,1335.6675257731958,3337.428211586902,1034.3886010362694,4332.462462462462
2022-11,2418.190476190476,4505.866666666667,7633.168141592921,4144.168,3855.908587257618,3166.6666666666665,4654.0526315789475,3171.8804664723034,1430.4360465116279,2221.9310344827586,4110.0,1439.6164383561643,3519.7061994609167,5842.364829396325,6443.929219600726,1197.5657894736842,3127.061381074169,865.9162303664922,4282.758620689655
2022-12,2078.0518134715026,4624.588235294118,7755.818181818182,4205.324607329843,3325.4375,3283.3333333333335,4739.843137254902,3094.0809248554915,1338.3333333333333,2257.2358974358976,4252.0,1314.4545454545455,3241.105670103093,5770.865979381443,6465.921985815603,1109.3045685279187,3045.575,937.8461538461538,4174.131736526946
