,신선식품 (신선식품지수),닭고기 (수입물가지수),닭고기 (품목별소비자물가),Meat,식품
2018.01,92.961,99.54,99.47,95.6,106.68
2018.02,101.268,104.89,100.238,97.0,108.98
2018.03,95.89,106.42,101.659,97.2,108.46
2018.04,96.269,106.5,102.499,95.9,108.32
2018.05,92.838,109.38,100.694,95.3,108.18
2018.06,87.69,121.97,99.034,95.1,107.01
2018.07,86.915,133.25,101.701,94.6,107.48
2018.08,102.745,126.65,109.046,95.8,110.85
2018.09,112.322,108.78,107.261,94.1,113.08
2018.1,103.1,109.17,105.269,92.3,110.7
2018.11,94.232,105.54,103.755,92.9,109.17
2018.12,94.24,99.5,103.661,92.9,108.97
2019.01,94.034,109.33,112.978,92.3,109.36
2019.02,95.964,113.41,113.258,93.1,109.59
2019.03,93.027,118.95,107.873,94.6,108.96
2019.04,93.679,127.64,107.22,97.8,109.71
2019.05,90.899,135.84,104.782,100.5,109.58
2019.06,87.715,134.95,102.25,101.2,109.26
2019.07,85.512,130.65,99.107,102.4,108.54
2019.08,88.424,122.33,100.518,102.3,109.73
2019.09,95.18,105.93,100.725,101.0,111.71
2019.1,95.106,105.95,103.153,101.6,112.3
2019.11,89.274,107.67,100.061,106.5,110.58
2019.12,92.128,109.55,99.076,106.6,110.79
2020.01,96.5,115.01,99.18,103.6,111.9
2020.02,95.57,115.53,101.08,100.5,111.74
2020.03,97.07,103.1,102.26,99.4,112.6
2020.04,95.14,102.82,99.55,96.9,112.48
2020.05,94.34,100.96,100.09,95.4,112.14
2020.06,93.42,97.29,100.2,94.8,112.37
2020.07,96.19,90.38,99.9,92.2,112.5
2020.08,105.17,78.15,99.42,92.2,114.62
2020.09,114.44,75.98,101.42,91.5,117.52
2020.1,112.47,80.92,98.49,91.8,117.37
2020.11,99.95,80.19,98.47,93.3,114.32
2020.12,99.74,78.63,99.94,94.8,113.71
2021.01,105.37,81.87,106.2,96.0,115.47
2021.02,112.55,87.14,108.67,97.8,117.59
2021.03,111.82,97.86,107.93,100.8,117.35
2021.04,108.57,105.06,106.88,104.3,117.31
2021.05,104.84,102.75,105.51,107.4,116.84
2021.06,100.93,98.59,102.94,110.7,116.21
2021.07,100.58,100.58,106.6,114.1,116.29
2021.08,104.26,109.57,110.02,113.4,118.2
2021.09,109.16,129.14,107.84,112.7,119.77
2021.1,103.75,143.52,110.47,112.0,119.0
2021.11,105.5,138.71,111.73,112.5,119.73
2021.12,106.41,132.68,107.24,111.0,106.13
2022.01,111.65,125.46,113.72,112.1,106.77
2022.02,111.57,130.69,113.96,113.9,107.98
2022.03,109.35,158.83,119.41,119.3,108.54
2022.04,109.62,169.11,124.6,121.9,109.32
2022.05,107.46,180.88,122.47,122.9,110.97
2022.06,106.36,182.25,123.6,125.9,111.31
2022.07,113.7,187.3,126.84,124.1,113.09
2022.08,119.8,180.84,127.52,121.1,114.13
2022.09,123.12,180.29,121.86,120.3,115.03
2022.1,115.6,164.3,120.17,116.8,113.9
2022.11,106.36,152.52,123.18,114.6,112.39
2022.12,107.62,126.25,133.16,112.4,113.1
