,신선식품 (신선식품지수),과일 (수입물가지수),배 (품목별소비자물가),배 (생산자물가지수),Food Price Index,식품
2018.01,92.961,103.8,76.701,91.32,96.8,106.68
2018.02,101.268,106.18,82.17,99.17,97.9,108.98
2018.03,95.89,102.79,78.597,95.08,99.0,108.46
2018.04,96.269,112.5,76.831,93.92,98.6,108.32
2018.05,92.838,108.63,70.394,91.26,98.7,108.18
2018.06,87.69,107.66,66.195,92.58,97.0,107.01
2018.07,86.915,103.23,59.261,89.71,95.1,107.48
2018.08,102.745,105.09,70.98,87.29,96.0,110.85
2018.09,112.322,103.88,93.742,121.59,94.2,113.08
2018.1,103.1,103.49,95.239,101.24,93.3,110.7
2018.11,94.232,104.77,90.796,113.06,92.2,109.17
2018.12,94.24,102.55,94.775,123.64,92.2,108.97
2019.01,94.034,99.21,101.937,134.87,93.3,109.36
2019.02,95.964,99.2,117.041,129.59,94.0,109.59
2019.03,93.027,103.06,115.983,133.77,93.2,108.96
2019.04,93.679,106.32,115.438,132.6,93.6,109.71
2019.05,90.899,118.46,109.017,136.59,94.3,109.58
2019.06,87.715,113.14,99.902,151.45,95.4,109.26
2019.07,85.512,107.96,90.007,174.88,95.1,108.54
2019.08,88.424,114.12,86.702,196.56,94.1,109.73
2019.09,95.18,111.46,110.832,99.38,93.4,111.71
2019.1,95.106,103.59,94.743,88.87,95.2,112.3
2019.11,89.274,105.55,90.218,101.04,98.6,110.58
2019.12,92.128,103.3,92.122,108.1,101.0,110.79
2020.01,96.5,101.22,90.29,105.99,102.5,111.9
2020.02,95.57,100.69,89.57,109.14,99.4,111.74
2020.03,97.07,103.53,90.55,115.67,95.2,112.6
2020.04,95.14,106.78,92.07,119.5,92.5,112.48
2020.05,94.34,114.33,92.93,136.72,91.1,112.14
2020.06,93.42,113.4,94.19,139.96,93.3,112.37
2020.07,96.19,105.8,96.12,138.84,94.0,112.5
2020.08,105.17,104.86,97.51,137.55,95.9,114.62
2020.09,114.44,107.48,104.21,169.17,98.0,117.52
2020.1,112.47,99.79,114.96,158.83,101.4,117.37
2020.11,99.95,98.37,117.01,168.73,105.6,114.32
2020.12,99.74,100.92,120.58,185.95,108.6,113.71
2021.01,105.37,105.66,124.59,195.01,113.5,115.47
2021.02,112.55,101.36,136.41,200.55,116.6,117.59
2021.03,111.82,105.01,137.81,204.68,119.2,117.35
2021.04,108.57,105.55,139.51,209.01,122.1,117.31
2021.05,104.84,109.82,141.56,222.97,128.1,116.84
2021.06,100.93,106.19,145.04,231.79,125.3,116.21
2021.07,100.58,108.53,149.98,260.76,124.6,116.29
2021.08,104.26,111.1,153.82,267.27,128.0,118.2
2021.09,109.16,113.19,132.76,120.07,129.2,119.77
2021.1,103.75,112.57,123.75,103.89,133.2,119.0
2021.11,105.5,117.48,113.13,114.55,135.3,119.73
2021.12,106.41,114.98,113.74,129.44,133.7,106.13
2022.01,111.65,111.15,115.86,144.0,135.6,106.77
2022.02,111.57,112.97,119.2,133.21,141.2,107.98
2022.03,109.35,116.64,120.04,131.25,159.7,108.54
2022.04,109.62,120.32,117.85,138.82,158.4,109.32
2022.05,107.46,131.5,119.97,149.24,158.1,110.97
2022.06,106.36,136.68,124.98,177.62,154.7,111.31
2022.07,113.7,139.06,128.98,190.69,140.6,113.09
2022.08,119.8,137.42,124.17,176.92,137.6,114.13
2022.09,123.12,141.8,118.03,115.06,136.0,115.03
2022.1,115.6,144.04,104.94,95.14,135.4,113.9
2022.11,106.36,135.27,96.69,98.24,134.7,112.39
2022.12,107.62,129.49,94.51,99.69,131.8,113.1
