,신선식품 (신선식품지수),과일 (수입물가지수),사과 (품목별소비자물가),사과 (생산자물가지수),Food Price Index,식품
2018.01,92.961,103.8,89.718,59.04,96.8,106.68
2018.02,101.268,106.18,97.501,65.29,97.9,108.98
2018.03,95.89,102.79,95.849,65.01,99.0,108.46
2018.04,96.269,112.5,96.419,64.03,98.6,108.32
2018.05,92.838,108.63,88.443,61.97,98.7,108.18
2018.06,87.69,107.66,83.055,62.55,97.0,107.01
2018.07,86.915,103.23,74.412,61.41,95.1,107.48
2018.08,102.745,105.09,89.167,61.64,96.0,110.85
2018.09,112.322,103.88,114.795,64.44,94.2,113.08
2018.1,103.1,103.49,105.129,58.43,93.3,110.7
2018.11,94.232,104.77,98.418,61.16,92.2,109.17
2018.12,94.24,102.55,96.815,66.83,92.2,108.97
2019.01,94.034,99.21,99.306,72.68,93.3,109.36
2019.02,95.964,99.2,103.169,60.84,94.0,109.59
2019.03,93.027,103.06,100.243,63.49,93.2,108.96
2019.04,93.679,106.32,101.72,62.61,93.6,109.71
2019.05,90.899,118.46,96.071,63.19,94.3,109.58
2019.06,87.715,113.14,88.008,66.8,95.4,109.26
2019.07,85.512,107.96,79.289,62.71,95.1,108.54
2019.08,88.424,114.12,76.392,51.43,94.1,109.73
2019.09,95.18,111.46,105.091,52.94,93.4,111.71
2019.1,95.106,103.59,88.568,50.39,95.2,112.3
2019.11,89.274,105.55,88.82,51.08,98.6,110.58
2019.12,92.128,103.3,87.342,56.52,101.0,110.79
2020.01,96.5,101.22,79.19,56.66,102.5,111.9
2020.02,95.57,100.69,81.93,56.11,99.4,111.74
2020.03,97.07,103.53,81.24,57.55,95.2,112.6
2020.04,95.14,106.78,83.91,60.35,92.5,112.48
2020.05,94.34,114.33,90.73,86.2,91.1,112.14
2020.06,93.42,113.4,97.24,94.41,93.3,112.37
2020.07,96.19,105.8,104.89,104.77,94.0,112.5
2020.08,105.17,104.86,108.33,128.4,95.9,114.62
2020.09,114.44,107.48,121.66,128.4,98.0,117.52
2020.1,112.47,99.79,123.98,83.97,101.4,117.37
2020.11,99.95,98.37,112.17,80.17,105.6,114.32
2020.12,99.74,100.92,114.72,97.25,108.6,113.71
2021.01,105.37,105.66,119.16,100.01,113.5,115.47
2021.02,112.55,101.36,128.55,107.35,116.6,117.59
2021.03,111.82,105.01,129.47,103.75,119.2,117.35
2021.04,108.57,105.55,130.34,107.65,122.1,117.31
2021.05,104.84,109.82,130.27,109.53,128.1,116.84
2021.06,100.93,106.19,130.45,108.07,125.3,116.21
2021.07,100.58,108.53,128.79,97.48,124.6,116.29
2021.08,104.26,111.1,118.35,74.31,128.0,118.2
2021.09,109.16,113.19,108.49,74.31,129.2,119.77
2021.1,103.75,112.57,99.11,65.26,133.2,119.0
2021.11,105.5,117.48,101.04,57.26,135.3,119.73
2021.12,106.41,114.98,97.43,72.35,133.7,106.13
2022.01,111.65,111.15,99.99,90.63,135.6,106.77
2022.02,111.57,112.97,102.88,75.97,141.2,107.98
2022.03,109.35,116.64,102.08,61.96,159.7,108.54
2022.04,109.62,120.32,99.87,68.09,158.4,109.32
2022.05,107.46,131.5,100.67,62.82,158.1,110.97
2022.06,106.36,136.68,105.48,79.63,154.7,111.31
2022.07,113.7,139.06,112.07,91.67,140.6,113.09
2022.08,119.8,137.42,117.77,92.13,137.6,114.13
2022.09,123.12,141.8,105.89,92.13,136.0,115.03
2022.1,115.6,144.04,95.2,64.92,135.4,113.9
2022.11,106.36,135.27,92.91,60.05,134.7,112.39
2022.12,107.62,129.49,93.49,62.06,131.8,113.1
