,소비자물가지수(단일),신선수산물 (수입물가지수),고등어 (생산자물가지수),Food Price Index,식품
2018.01,98.106,100.79,103.91,96.8,106.68
2018.02,98.855,102.4,103.8,97.9,108.98
2018.03,98.751,105.41,102.86,99.0,108.46
2018.04,98.931,106.63,103.32,98.6,108.32
2018.05,98.979,100.47,103.32,98.7,108.18
2018.06,98.779,93.73,103.32,97.0,107.01
2018.07,98.59,83.42,103.32,95.1,107.48
2018.08,99.462,82.82,82.85,96.0,110.85
2018.09,100.221,76.14,80.56,94.2,113.08
2018.1,100.041,79.12,78.0,93.3,110.7
2018.11,99.33,87.14,81.03,92.2,109.17
2018.12,98.988,92.16,81.14,92.2,108.97
2019.01,98.884,91.46,78.98,93.3,109.36
2019.02,99.311,87.69,80.34,94.0,109.59
2019.03,99.121,92.29,82.02,93.2,108.96
2019.04,99.481,86.64,87.85,93.6,109.71
2019.05,99.652,86.53,89.68,94.3,109.58
2019.06,99.491,90.41,92.36,95.4,109.26
2019.07,99.187,89.19,93.34,95.1,108.54
2019.08,99.425,98.8,83.03,94.1,109.73
2019.09,99.794,96.57,83.4,93.4,111.71
2019.1,100.041,89.13,83.67,95.2,112.3
2019.11,99.481,88.5,88.88,98.6,110.58
2019.12,99.719,92.24,94.45,101.0,110.79
2020.01,100.09,94.67,111.98,102.5,111.9
2020.02,100.16,87.12,123.61,99.4,111.74
2020.03,99.94,90.61,125.22,95.2,112.6
2020.04,99.5,87.55,129.41,92.5,112.48
2020.05,99.44,92.97,129.41,91.1,112.14
2020.06,99.71,103.36,129.41,93.3,112.37
2020.07,99.63,99.6,113.11,94.0,112.5
2020.08,100.19,93.67,110.57,95.9,114.62
2020.09,100.74,86.27,109.5,98.0,117.52
2020.1,100.18,88.28,112.2,101.4,117.37
2020.11,100.09,88.05,115.64,105.6,114.32
2020.12,100.33,87.47,115.38,108.6,113.71
2021.01,101.04,87.37,123.15,113.5,115.47
2021.02,101.58,86.76,133.78,116.6,117.59
2021.03,101.84,85.51,135.69,119.2,117.35
2021.04,101.98,85.43,130.98,122.1,117.31
2021.05,102.05,88.59,125.03,128.1,116.84
2021.06,102.05,85.43,125.56,125.3,116.21
2021.07,102.26,89.31,118.7,124.6,116.29
2021.08,102.75,89.67,122.76,128.0,118.2
2021.09,103.17,98.5,130.25,129.2,119.77
2021.1,103.35,88.31,114.43,133.2,119.0
2021.11,103.87,90.1,120.8,135.3,119.73
2021.12,104.04,92.88,129.33,133.7,106.13
2022.01,104.69,94.57,126.73,135.6,106.77
2022.02,105.3,89.98,126.39,141.2,107.98
2022.03,106.06,94.58,130.51,159.7,108.54
2022.04,106.85,93.3,133.86,158.4,109.32
2022.05,107.56,95.24,132.98,158.1,110.97
2022.06,108.22,91.63,125.76,154.7,111.31
2022.07,108.74,95.45,123.29,140.6,113.09
2022.08,108.62,96.52,120.33,137.6,114.13
2022.09,108.93,112.25,131.33,136.0,115.03
2022.1,109.21,104.59,132.6,135.4,113.9
2022.11,109.1,105.72,151.03,134.7,112.39
2022.12,109.28,106.77,141.72,131.8,113.1
