,소비자물가지수(단일),신선채소 (신선식품지수),냉동채소 (수입물가지수),총지수 (품목별소비자물가),Food Price Index,식품
2018.01,98.106,88.511,91.05,98.106,96.8,106.68
2018.02,98.855,104.029,92.15,98.855,97.9,108.98
2018.03,98.751,94.878,87.21,98.751,99.0,108.46
2018.04,98.931,92.009,83.7,98.931,98.6,108.32
2018.05,98.979,87.749,84.95,98.979,98.7,108.18
2018.06,98.779,79.88,86.25,98.779,97.0,107.01
2018.07,98.59,83.045,88.65,98.59,95.1,107.48
2018.08,99.462,107.551,87.94,99.462,96.0,110.85
2018.09,100.221,123.374,89.38,100.221,94.2,113.08
2018.1,100.041,101.495,90.98,100.041,93.3,110.7
2018.11,99.33,90.649,90.8,99.33,92.2,109.17
2018.12,98.988,85.502,90.34,98.988,92.2,108.97
2019.01,98.884,86.761,90.27,98.884,93.3,109.36
2019.02,99.311,88.254,90.3,99.311,94.0,109.59
2019.03,99.121,82.625,90.97,99.121,93.2,108.96
2019.04,99.481,81.023,100.25,99.481,93.6,109.71
2019.05,99.652,79.041,103.97,99.652,94.3,109.58
2019.06,99.491,77.859,103.29,99.491,95.4,109.26
2019.07,99.187,77.695,115.03,99.187,95.1,108.54
2019.08,99.425,88.285,118.14,99.425,94.1,109.73
2019.09,99.794,96.915,116.57,99.794,93.4,111.71
2019.1,100.041,99.878,116.39,100.041,95.2,112.3
2019.11,99.481,91.597,114.75,99.481,98.6,110.58
2019.12,99.719,91.216,115.57,99.719,101.0,110.79
2020.01,100.09,100.62,116.18,100.09,102.5,111.9
2020.02,100.16,97.26,119.13,100.16,99.4,111.74
2020.03,99.94,97.03,121.75,99.94,95.2,112.6
2020.04,99.5,90.06,112.47,99.5,92.5,112.48
2020.05,99.44,87.67,112.83,99.44,91.1,112.14
2020.06,99.71,85.99,112.76,99.71,93.3,112.37
2020.07,99.63,90.29,115.3,99.63,94.0,112.5
2020.08,100.19,112.34,114.14,100.19,95.9,114.62
2020.09,100.74,127.95,113.89,100.74,98.0,117.52
2020.1,100.18,119.11,109.46,100.18,101.4,117.37
2020.11,100.09,98.91,106.79,100.09,105.6,114.32
2020.12,100.33,92.77,104.72,100.33,108.6,113.71
2021.01,101.04,105.43,107.16,101.04,113.5,115.47
2021.02,101.58,119.53,108.54,101.58,116.6,117.59
2021.03,101.84,116.57,110.44,101.84,119.2,117.35
2021.04,101.98,108.47,109.91,101.98,122.1,117.31
2021.05,102.05,98.39,110.3,102.05,128.1,116.84
2021.06,102.05,91.34,110.1,102.05,125.3,116.21
2021.07,102.26,90.14,114.32,102.26,124.6,116.29
2021.08,102.75,99.12,139.84,102.75,128.0,118.2
2021.09,103.17,113.58,140.95,103.17,129.2,119.77
2021.1,103.35,99.06,148.11,103.35,133.2,119.0
2021.11,103.87,107.0,149.67,103.87,135.3,119.73
2021.12,104.04,101.98,150.59,104.04,133.7,106.13
2022.01,104.69,107.69,151.9,104.69,135.6,106.77
2022.02,105.3,109.49,192.92,105.3,141.2,107.98
2022.03,106.06,104.28,164.56,106.06,159.7,108.54
2022.04,106.85,102.49,162.14,106.85,158.4,109.32
2022.05,107.56,98.5,165.51,107.56,158.1,110.97
2022.06,108.22,96.84,166.66,108.22,154.7,111.31
2022.07,108.74,113.57,175.33,108.74,140.6,113.09
2022.08,108.62,126.88,177.97,108.62,137.6,114.13
2022.09,108.93,138.77,183.86,108.93,136.0,115.03
2022.1,109.21,120.56,188.43,109.21,135.4,113.9
2022.11,109.1,104.01,189.19,109.1,134.7,112.39
2022.12,109.28,99.41,181.45,109.28,131.8,113.1
