,신선채소 (신선식품지수),냉동채소 (수입물가지수),상추 (품목별소비자물가),상추 (생산자물가지수),Food Price Index,식품
2018.01,88.511,91.05,89.102,118.13,96.8,106.68
2018.02,104.029,92.15,92.305,91.33,97.9,108.98
2018.03,94.878,87.21,74.956,62.05,99.0,108.46
2018.04,92.009,83.7,76.172,68.34,98.6,108.32
2018.05,87.749,84.95,73.384,71.56,98.7,108.18
2018.06,79.88,86.25,73.609,53.69,97.0,107.01
2018.07,83.045,88.65,92.261,115.41,95.1,107.48
2018.08,107.551,87.94,129.04,189.34,96.0,110.85
2018.09,123.374,89.38,188.294,333.3,94.2,113.08
2018.1,101.495,90.98,107.156,98.21,93.3,110.7
2018.11,90.649,90.8,81.152,51.96,92.2,109.17
2018.12,85.502,90.34,74.782,66.05,92.2,108.97
2019.01,86.761,90.27,77.766,66.06,93.3,109.36
2019.02,88.254,90.3,76.915,53.54,94.0,109.59
2019.03,82.625,90.97,73.253,55.15,93.2,108.96
2019.04,81.023,100.25,72.823,61.64,93.6,109.71
2019.05,79.041,103.97,74.439,71.04,94.3,109.58
2019.06,77.859,103.29,68.834,65.31,95.4,109.26
2019.07,77.695,115.03,80.679,97.04,95.1,108.54
2019.08,88.285,118.14,129.31,186.99,94.1,109.73
2019.09,96.915,116.57,118.47,188.74,93.4,111.71
2019.1,99.878,116.39,140.274,205.15,95.2,112.3
2019.11,91.597,114.75,100.946,95.57,98.6,110.58
2019.12,91.216,115.57,89.313,95.48,101.0,110.79
2020.01,100.62,116.18,115.4,138.04,102.5,111.9
2020.02,97.26,119.13,90.46,54.44,99.4,111.74
2020.03,97.03,121.75,81.31,56.14,95.2,112.6
2020.04,90.06,112.47,73.41,50.83,92.5,112.48
2020.05,87.67,112.83,71.78,65.9,91.1,112.14
2020.06,85.99,112.76,81.18,98.37,93.3,112.37
2020.07,90.29,115.3,111.3,163.6,94.0,112.5
2020.08,112.34,114.14,176.77,281.9,95.9,114.62
2020.09,127.95,113.89,142.79,165.43,98.0,117.52
2020.1,119.11,109.46,98.16,58.02,101.4,117.37
2020.11,98.91,106.79,76.99,52.87,105.6,114.32
2020.12,92.77,104.72,80.43,90.86,108.6,113.71
2021.01,105.43,107.16,105.92,142.68,113.5,115.47
2021.02,119.53,108.54,104.31,88.42,116.6,117.59
2021.03,116.57,110.44,87.33,68.36,119.2,117.35
2021.04,108.47,109.91,85.83,78.39,122.1,117.31
2021.05,98.39,110.3,86.22,90.18,128.1,116.84
2021.06,91.34,110.1,97.18,115.41,125.3,116.21
2021.07,90.14,114.32,111.2,174.43,124.6,116.29
2021.08,99.12,139.84,144.59,222.73,128.0,118.2
2021.09,113.58,140.95,201.08,299.24,129.2,119.77
2021.1,99.06,148.11,125.01,232.18,133.2,119.0
2021.11,107.0,149.67,134.21,91.63,135.3,119.73
2021.12,101.98,150.59,93.22,87.62,133.7,106.13
2022.01,107.69,151.9,107.84,126.77,135.6,106.77
2022.02,109.49,192.92,101.21,79.72,141.2,107.98
2022.03,104.28,164.56,86.35,77.45,159.7,108.54
2022.04,102.49,162.14,91.21,90.34,158.4,109.32
2022.05,98.5,165.51,85.71,80.79,158.1,110.97
2022.06,96.84,166.66,87.19,133.85,154.7,111.31
2022.07,113.57,175.33,181.39,330.06,140.6,113.09
2022.08,126.88,177.97,179.79,298.4,137.6,114.13
2022.09,138.77,183.86,172.65,169.75,136.0,115.03
2022.1,120.56,188.43,103.27,94.79,135.4,113.9
2022.11,104.01,189.19,88.2,59.05,134.7,112.39
2022.12,99.41,181.45,89.76,128.35,131.8,113.1
