,신선채소 (신선식품지수),냉동채소 (수입물가지수),오이 (품목별소비자물가),오이 (생산자물가지수),Food Price Index,식품
2018.01,88.511,91.05,113.848,129.49,96.8,106.68
2018.02,104.029,92.15,130.452,115.58,97.9,108.98
2018.03,94.878,87.21,102.05,106.14,99.0,108.46
2018.04,92.009,83.7,88.483,72.55,98.6,108.32
2018.05,87.749,84.95,78.881,72.03,98.7,108.18
2018.06,79.88,86.25,75.259,56.2,97.0,107.01
2018.07,83.045,88.65,77.506,85.37,95.1,107.48
2018.08,107.551,87.94,98.805,123.4,96.0,110.85
2018.09,123.374,89.38,109.337,124.02,94.2,113.08
2018.1,101.495,90.98,84.625,81.72,93.3,110.7
2018.11,90.649,90.8,75.578,81.79,92.2,109.17
2018.12,85.502,90.34,93.715,114.13,92.2,108.97
2019.01,86.761,90.27,106.453,128.19,93.3,109.36
2019.02,88.254,90.3,115.794,122.4,94.0,109.59
2019.03,82.625,90.97,105.958,105.48,93.2,108.96
2019.04,81.023,100.25,84.483,65.65,93.6,109.71
2019.05,79.041,103.97,75.133,56.2,94.3,109.58
2019.06,77.859,103.29,69.029,53.23,95.4,109.26
2019.07,77.695,115.03,76.475,85.2,95.1,108.54
2019.08,88.285,118.14,103.61,125.75,94.1,109.73
2019.09,96.915,116.57,89.07,97.59,93.4,111.71
2019.1,99.878,116.39,106.05,97.25,95.2,112.3
2019.11,91.597,114.75,113.647,121.73,98.6,110.58
2019.12,91.216,115.57,120.984,128.29,101.0,110.79
2020.01,100.62,116.18,133.97,182.24,102.5,111.9
2020.02,97.26,119.13,135.87,153.38,99.4,111.74
2020.03,97.03,121.75,118.65,108.24,95.2,112.6
2020.04,90.06,112.47,82.87,66.71,92.5,112.48
2020.05,87.67,112.83,67.44,56.95,91.1,112.14
2020.06,85.99,112.76,69.99,67.26,93.3,112.37
2020.07,90.29,115.3,85.33,92.01,94.0,112.5
2020.08,112.34,114.14,108.39,165.74,95.9,114.62
2020.09,127.95,113.89,135.55,180.3,98.0,117.52
2020.1,119.11,109.46,91.98,61.59,101.4,117.37
2020.11,98.91,106.79,72.97,75.25,105.6,114.32
2020.12,92.77,104.72,97.01,120.12,108.6,113.71
2021.01,105.43,107.16,126.06,153.03,113.5,115.47
2021.02,119.53,108.54,151.4,149.9,116.6,117.59
2021.03,116.57,110.44,122.75,119.81,119.2,117.35
2021.04,108.47,109.91,101.93,75.89,122.1,117.31
2021.05,98.39,110.3,81.66,81.45,128.1,116.84
2021.06,91.34,110.1,90.04,71.28,125.3,116.21
2021.07,90.14,114.32,86.1,90.21,124.6,116.29
2021.08,99.12,139.84,93.01,125.12,128.0,118.2
2021.09,113.58,140.95,119.68,121.18,129.2,119.77
2021.1,99.06,148.11,95.67,144.12,133.2,119.0
2021.11,107.0,149.67,145.74,169.33,135.3,119.73
2021.12,101.98,150.59,143.0,165.93,133.7,106.13
2022.01,107.69,151.9,141.07,183.3,135.6,106.77
2022.02,109.49,192.92,149.86,146.08,141.2,107.98
2022.03,104.28,164.56,127.01,144.49,159.7,108.54
2022.04,102.49,162.14,116.55,88.49,158.4,109.32
2022.05,98.5,165.51,87.01,67.95,158.1,110.97
2022.06,96.84,166.66,85.9,87.0,154.7,111.31
2022.07,113.57,175.33,148.97,174.41,140.6,113.09
2022.08,126.88,177.97,157.4,181.06,137.6,114.13
2022.09,138.77,183.86,139.27,147.16,136.0,115.03
2022.1,120.56,188.43,124.6,108.19,135.4,113.9
2022.11,104.01,189.19,94.26,93.82,134.7,112.39
2022.12,99.41,181.45,120.39,164.17,131.8,113.1
